,price,artist,title,yearCreation,signed,condition,period,movement
334,3.000 USD,James Siena,Antenna,2003,[nan],Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction
335,3.000 USD,Mike Bidlo,"Not Warhol, Marilyn",1984,[nan],This work is in very good condition.No obvious signs of wear.,Contemporary,Pop Art
336,1.000 USD,Jennifer Reeves,"Place, 4-17",1997,Signed and dated verso,No obvious signs of wear.,Post-War,Conceptual 
337,1.000 USD,Justine Kurland,Explorer,2000,Signed on gallery sticker verso,Laminate rippling at top center.Not examined out of frame.No obvious signs of wear to photograph.,Contemporary,Realism
338,1.500 USD,Sarah Braman,Indian Summer 8 pm,2010,Signed and dated verso,No obvious signs of wear.,Contemporary,Abstract
339,2.550 USD,James Siena,"Taste The Houses, Twirly, Upside Down Devil",1997,Signed lower right recto,No obvious signs of wear.,Contemporary,Geometric Abstraction
340,4.000 USD,Michele Abeles,3-Way,2013,Signed on the reverse.,Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Conceptual 
341,1.500 USD,Kika Karadi,Untitled (OPM No. 1),2014,"Signed, titled and dated on the reverse",No obvious signs of wear or damage.,Contemporary,Abstract
342,10.000 USD,Julia Rommel,Hobby,2012,Signed and dated on reverse ,No obvious signs of wear or damage.,Contemporary,Conceptual 
343,2.250 USD,CARL VAN VECHTEN,Dizzy Gillespie,1955,[nan],This work is in very good condition.No obvious signs of wear or use.,Post-War,[nan]
344,4.000 USD,Flip Schulke,"Cassius Clay, Miami Beach",1961,"Signed and copyrighted in pencil and with a Flip Schulke studio label annotated ‘PAGE: 16.’ in ink, on the reverse.","This print is in generally excellent condition. The margin edges are worn and there is a sharp crease in the upper left margin corner that does not appear to break the emulsion. ‘#40 in show’ is written in pencil on the reverse, possibly in the photographer’s hand.",Post-War,Realism
345,800 USD,Carl Roters,Two Trappers ,Circa 1970,Signed lower right,No apparent signs of damage to artwork.Not examined out of frame.Frame with minor wear.,Post-War,Realism
346,800 USD,Carl Roters,Indian Horses,1971,Signed and dated 1971 lower right,No apparent signs of damage to artwork.Not examined out of frame.Overmat with several wrinkles.Frame with minor wear.,Post-War,Realism
347,30.000 USD,Robin Rhode,Ballad to Ballet,2008,[nan],Work appears to be in good condition. Light dust throughout. Some frames are scratched and dinged.,Contemporary,Conceptual 
348,18.000 USD,Dashiell Manley,"Triangles (Front, Back, Blue Gels, Fingers)",2013,[nan],Good condition.,Contemporary,Abstract
349,15.000 USD,Jessica Jackson Hutchins,Punctuation,2011,[nan],The work appears to be in excellent condition. The piece is framed. There are some very small pieces of material in the bottom of the frame that have come away from the piece. This work has not been inspected out of the frame.,Contemporary,Abstract
350,12.000 USD,Artie Vierkant,Image Object Sunday 12 February 2012 6:22pm,2012,[nan],Artwork not inspected.,Contemporary,Abstract
351,23.000 USD,James Welling,Glass House,2010,"Signed, titled, dated and numbered lower recto",Excellent condition. Frame has slightly cracked miter joint on upper right corner.,Contemporary,Conceptual 
352,128.000 USD,John Baldessari,"National City (W,1,2,3,4,5,6,B)",1996 - 2009,Signed on the reverse.,Excellent condition.,Contemporary,Pop Art
353,160.000 USD,Alex Katz,Black Dress Portfolio,2015,Signed and numbered,Excellent condition.,Contemporary,Pop Art
354,6.500 USD,Biff Elrod,Other Woman I,2011,"Front lower left ""B.F. Elrod""",Excellent condition.,Contemporary,Pop Art
355,5.500 USD,Biff Elrod,G-OW-RW,2008,Signed verso ,Excellent condition.,Contemporary,Pop Art
356,5.000 USD,Flip Schulke,"Cassius Clay at the 5th Street Gym, Miami Beach, FL",1961,Signed and copyrighted in pencil and with a Flip Schulke studio label on the reverse.,This print is in generally excellent condition. There are some fingerprints in the upper right quadrant.,Modern,Realism
357,4.500 USD,Ralph Morse,Cassius Clay After Defeating Sonny Liston,1964,[nan],"This early print is in generally very good condition. Visible under close inspection are some scuffs, soft handling creases and an approximately one-inch crease in the lower left quadrant that appears to break the emulsion. There is minor edge wear, with some sharp creases that break the emulsion and occasional losses. On the reverse are numerous reproduction notations in crayon and graphite in unidentified hands.",Modern,Realism
358,4.000 USD,John Shearer,Muhammed Ali (Training),[nan],[nan],"This print is in generally very good condition. Visible under close examination are hairline scratches, some cloudy areas that may be the result of processing, scuffs, and soft handling creases. ‘25619 / 6C13M 27’ Is written in pencil in an unidentified hand on the reverse.",Modern,Realism
359,4.000 USD,Flip Schulke,Cassius Clay training in a pool at the Sir John Hotel in Miami,1964,"Blindstamped by the photographer’s archive in the margin.Signed and copyrighted in pencil on the reverse, a Flip Schulke, West Palm Beach studio label on the reverse annotated ‘M. Ali’ in ink.",[nan],Modern,Realism
360,4.000 USD,Flip Schulke,"Muhammad Ali at the Fifth Street Gym, Miami Beach",1964,"A Flip Schulke, West Palm Beach studio label on the reverse, annotated ‘1964’ in red ink.",This print is in generally excellent condition. There are occasional hairline scratches. In the margin is a piece of adhesive with ‘P74’ and ‘63%’ written in pencil in an unidentified hand.,Modern,Realism
361,22.500 USD,Christopher Williams,"CUTAWAY MODEL NIKKOR ZOOM LENS 50-300MM Ƒ/4.5. PHOTOGRAPHY BY THE DOUGLAS M. PARKER STUDIO, LOS ANGELES, CALIFORNIA, OCTOBER 13, 2007 - OCTOBER 29, 2007",2007,"Signed, partially titled, dated 08 and numbered AP on the reverse","This work is in very good condition overall.There is a light layer of surface dust that has adhered to the surface.Under very close inspection there is a white spot accretion, 7 inches from the top edge and 10 inches from the left edge.",Contemporary,Realism
362,37.000 USD,Marcel Dyf,Fille aux Violets,1957,Signed Dyf bottom left in paint,"Overall very good condition.Small chip to canvas at left side, middle.Occasional scratching and chips at frame corners.Not examined out of frame.",Post-War,Impressionism
363,9.350 USD,Mickalene Thomas,Portrait of Marie Sitting in Black and White,2012,[nan],Excellent condition.Not examined out of frame.,Contemporary,Conceptual 
364,14.680 USD,Mickalene Thomas,Madame Mama Bush in Black and White,2007 - 2011,"Signed, dated, and titled in ink on verso.",Excellent condition.,Contemporary,Conceptual 
365,20.000 USD,Hiroshi Sugimoto,Helicoid Minimal Surface,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
366,20.000 USD,Hiroshi Sugimoto,Differential Bevel Gear,2004,Signed in front under the mat on the right side.,Excellent condition.,Contemporary,Conceptual 
367,5.000 USD,Berndnaut Smilde,Iconoclouds,2013,Artist and printer chops on right front.,Excellent condition.,Contemporary,Conceptual 
368,25.000 USD,Ed  Ruscha,Sin,1970,"Signed, dated and numbered on front left corner.",Excellent condition.,Contemporary,Conceptual 
369,5.000 USD,Allan  McCollum,Lands of Shadow and Substance #27,2014,[nan],Excellent condition.,Contemporary,Conceptual 
370,5.000 USD,Allan  McCollum,Lands of Shadow and Substance #21,2014,[nan],Excellent condition.,Contemporary,Conceptual 
371,5.000 USD,Allan  McCollum,Lands of Shadow and Substance #2,2014,[nan],Excellent condition.,Contemporary,Conceptual 
372,2.000 USD,Sophie Von Hellermann,Untitled ,2010,"Signed ""Sophie von Hellermann"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Expressionism
373,2.000 USD,Dawn Mellor,Untitled ,1998,"Signed ""Dawn Mellor"" in block capitals and with the artist's signature.",Minor losses to paint layers on edges.Water damage on verso. ,Contemporary,Expressionism
374,3.000 USD,Gillian Carnegie,Untitled ,1998,"Signed ""Gillian Carnegie"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Impressionism
375,6.000 USD,Lawrence Weiner,BE THAT AS IT MIGHT - ASPIRE,2009,"Signed ""Lawrence Weiner"" in block capitals and with the artist's signature.",Occasional smudges and wear to corners. ,Contemporary,Conceptual 
376,15.500 USD,Paul Lucien Maze,Oxford from Christ Church Pavilion,20th Century ,Signed Paul Maze lower left recto,No obvious signs of wear to art.Not examined out of frame.Minor frame abrasion and chips to gilt at edges.,Post-War,Post-Impressionism
377,4.000 USD,Zak Smith,Things I Drew and Pinned to the Wall 2007,2007,[nan],[nan],Contemporary,Punk
378,2.000 USD,Matthew Brannon,Sick Whore 2006,2006,[nan],[nan],Contemporary,Conceptual 
379,4.000 USD,Zak Smith,Full-Spectrum Dominance in All Theaters 2007,2007,[nan],[nan],Contemporary,Punk
380,2.000 USD,Matthew Brannon,How It All Ends 2006,2006,[nan],[nan],Contemporary,Conceptual 
381,9.500 USD,Paige Neuhauser,W. 28th from Great Jones Alley series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
382,9.500 USD,Paige Neuhauser,Broadway & 28th from Great Jones Alley ,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
383,9.500 USD,Paige Neuhauser,Great Jones #2 from Great Jones Alley Series,2021,Signed on verso,This work is in excellent condition.,Contemporary,Photorealism
384,650 USD,David Levinthal,Barbie 64,1998 / 2011,Signed and numbered in ink verso,This work is in excellent condition with no signs of wear.This work is unframed.,Contemporary,Pop Art
385,2.500 USD,Doris McCarthy,Arancia,2021,"Titled, numbered, signed and dated recto",Excellent condition.,Contemporary,Abstract
386,2.500 USD,Doris McCarthy,lampone,2021,"Titled, numbered, signed and dated recto",Excellent condition ,Contemporary,Abstract
387,8.000 USD,Diane Tuft,States of Matter,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition overall.Small nick to one corner of the frame.,Contemporary,Environmental Art
388,8.000 USD,Diane Tuft,Red Sea,2005,"Signed, dated, titled and numbered on the reverse.",This work is in very good condition with no obvious signs of damage or wear.,Contemporary,Environmental Art
389,25.000 USD,GEORGE LOVETT KINGSLAND MORRIS,"St. Etienne-du-Mont, No. 2",1962 - 1963,"Signed Morris (lower right); also signed again, titled St. Etienne-du-Mont, No. 2 and dated 1962-3 (on the reverse)","The canvas is unlined and there is minor frame abrasion at the extreme edges. Under UV: there is some inpainting to address frame abrasion. Although some pigments read strongly under UV, they appear to be the artist's original.",Post-War,Cubism
390,3.895 USD,Bruce Nauman,Sequence,1969,Signed in ink lower right,This work is in very good condition.Minor crease and bend to lower right corner of print.,Post-War,Pop Art
391,15.000 USD,Francesco Correggia,Nevermore,2013,Signed verso ,Overall excellent condition.,Contemporary,Abstract
392,12.000 USD,Francesco Correggia,Verso Sera,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
393,12.000 USD,Francesco Correggia,Si Sciara,2012,Signed verso ,Overall excellent condition.,Contemporary,Abstract
394,7.000 USD,Thomas Struth,"Schönfeldstrasse (Bronze-Reiter), München",1984,"Signed, titled, dated, and editioned '2/10' in pencil on the reverse.Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. Upon close inspection in raking light, the following are visible: scattered, minor pitting; a few hairline scratches and scuffs; a sharp, crescent-shaped handling crease in the lower left quadrant; and a v-shaped soft crease in the upper right quadrant.The signed label on the reverse of the frame is annotated 'DM 3,200.-' in an unidentified hand in ink.",Post-War,Realism
395,7.000 USD,Thomas Struth,"Yamaguchi, Landscape with Garages",1986,"Signed, titled, dated, and editioned '3/10' in pencil on the reverse. Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This large ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. When examined closely in raking light, some minor pitting and a few deposits of original retouching are visible. The upper and lower margins are very gently rippled. The signed label on the reverse of the frame is annotated 'DM 2.900.-' in an unidentified hand in pencil. ",Post-War,Realism
396,70.000 USD,Willem de Kooning,Untitled ,1955,"Signed de Kooning in pencil; inscribed in pencil right side recto ""to Leonardo from Bill with Love"" ","This drawing is in good and stable condition consistent with its age, the inherent quality of the artist's chosen materials, and other examples of the artist's works using similar materials.The paper support is toned overall with some additional darkening corresponding to the area exposed to light. There is a liquid stain at the top left corner, which is likely attributable to the milieu of the artist’s studio. The sheet is structurally sound with some small edge tears and dents. An old tear that crosses the width of the sheet has been well-mended during an earlier restoration procedure through the application of an overall paper lining on the verso surface.The sheet has natural undulations and minor distortions throughout. The UV examination did not reveal anything further of note and provided additional support for the observations above.Presented with a window mat that covers the sheet edges.",Post-War,Abstract Expressionism
397,995 USD,Mariann Loveland-Miller,Day Box ,1983,[nan],This work is in overall good condition.There is a small abrasion center left.,Post-War,Surrealism
398,995 USD,Mary Frank,Untitled (3 Figures),1993,"Inscribed, signed and dated “For Micki Mary Frank 1993” lower right",This work is in good condition.Not examined out of frame.,Post-War,Abstract
399,1.895 USD,Anders Knutsson,The Swimmers ,Circa 1980,[nan],Not examined out of frame. Tenting and buckling inherent in artist's chosen working materials.,Post-War,Abstract
400,595 USD,Paul Manes,Untitled ,1986,"Signed and dated “Paul Manes ‘86” lower right; Inscribed “For Mickey, Happy 50th” lower left",This work is in good condition.Not examined out of frame.,Post-War,Abstract
401,1.595 USD,Mary Frank,Mating Gnus ,Late 20th Century ,"Signed “Mary Frank” lower right, inscribed in marker on the backing “33600J” upper right",Not examined out of frame.Abrasion to plexiglass.,Post-War,Realism
402,995 USD,Fred Mitchell,"Killyan Kill, Afternoon ",1985,"Signed and dated lower right “Fred Mitchell 85""; Titled lower left “Killyan [?] Kill, Afternoon”",This work is in good condition.Not examined out of frame.,Post-War,Expressionism
403,2.500 USD,Mary Frank,Untitled,1976,Signed Mary Frank 1976 in pencil verso ,This work is in good condition.Not examined out of frame.Back of piece not examined.,Post-War,Art Brut
404,8.000 USD,Walker Evans,Passengers on the Subway,1939,The photographer's credit stamp (Keller B) and '33' in pencil on the reverse.,"This print, on double-weight paper with a slight surface sheen, is in generally excellent condition. There are a few soft handling creases overall and a sharp crease in the lower left corner that does not appear to break the emulsion. The lower margin corners are bumped and the upper paper-ply is peeling. On the reverse, each corner in slightly discolored.",Modern,Realism
405,1.500 USD,Arnold Genthe,New Mexico,Circa 1900,Signed and titled in pencil on the image.,"This warm-toned print, on paper with a nearly matte, eggshell surface, is in generally good to very good condition. The following are visible: uneven, minor silvering; deposits of original retouching; a small loss and a sharp crease that appears to break the emulsion near the upper left corner; linear abrasions under the signature; a few superficial scratches; and discoloration in the the upper left corner.  The reverse is soiled and there are remnants of a previous mount. '124.005.307' is written in pencil in an unidentified hand.",Modern,Realism
406,8.000 USD,Andrew Moore,"Salon Verde, Havana, Cuba, 1998",1998,"Signed, titled and dated verso",Some smudges on back side of plexiglass near the top.Not examined outside of frame.,Post-War,Realism
407,27.000 USD,Alex Katz,Chance 3 (Darinka),2016,"Signed and numbered lower left front, stamped © Alex Katz, Lococo Fine Art Publisher 2016, verso lower right",Excellent condition.Not examined out of frame.,Contemporary,Pop Art
408,9.000 USD,Kim Gottlieb Walker,Bob Marley Smoking,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
409,3.000 USD,Kim Gottlieb Walker,Bob Marley,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
410,3.000 USD,Kim Gottlieb Walker,"Carol King and James Taylor, London ",1971,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
411,3.000 USD,Kim Gottlieb Walker,Rod Stewart,1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
412,3.000 USD,Kim Gottlieb Walker,Andy Warhol Smiling (Unusual),1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
413,2.500 USD,Kim Gottlieb Walker,"Bob Marley Bare Chest at Window, Jamaica ",1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
414,2.500 USD,Kim Gottlieb Walker,Jimi Plays Backstage at The Shrine,1967,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
415,75.000 USD,Biff Elrod,Ceiling Painting,2018,Signed verso ,This work is in excellent condition.,Contemporary,Pop Art
416,3.800 USD,Arie Smit,Bathing Place,1974,"Signed, titled, and dated in the lower left corner.",This work is in very good condition.Minor scuffs to frame with tear to paper backing.Art not examined outside of frame.,Post-War,Expressionism
417,1.200 USD,ROBERT KELLY,Asana II,1989,Signed and dated in pencil lower right.,This work is in good condition.Creasing to margins at lower right.Spots at blind stamp at lower left corner.Small spots in margin at left center.,Post-War,Abstract
418,71.500 USD,Larry Bell,New Test #1,2003,"Signed, titled and dated bottom right corner recto",Not examined out of frame.Moderate sheet undulation due to artist's chosen working materials. ,Contemporary,Minimalism
419,6.000 USD,Maurice Braun,Harbor at Cape Cod,Early 20th Century ,Signed Maurice Braun lower right corner recto,This work has not been examined out of its frame.,Modern,Impressionism
420,7.000 USD,Maurice Braun,On the River,Circa 1930 - 1939,Signed Maurice Braun lower right corner recto; title hand-written on stretcher bar ,Not examined out of frame.Canvas slightly loose in frame.,Modern,Impressionism
421,15.000 USD,Francesco Correggia,I Am Alone,2013,Signed verso ,This work is in excellent condition.,Contemporary,Abstract
422,7.500 USD,Julius Lumsdem,Monolith III,2005,Signed verso in graphite,Overall excellent condition. ,Contemporary,Abstract
423,2.250 USD,RENÉ LALIQUE,Drawings of a Pendant and Comb,1890 - 1899,Drawing of pendant inscribed emaillé and numbered 60 and 301.Drawing of comb numbered 80 and 367.,"Overall both drawings are in good condition.Pendant drawing:A few small losses to the sheet in all four corners.Along the upper edge there are three vertical repaired tears, the longest of which measures 4 inches, and an additional repaired loss.Along the center of the left edge, there are several repaired losses which together measure 5 ½ x ½ inches and a horizontal repaired tear measuring 2 inches.Along the center of the lower edge, there is a repaired loss measuring 3 x ¼ inches. In the upper right quadrant, between two pendant designs, there is a network of interconnected repaired losses and tears, the total area of which measures 1 ½ x 2 inches.Along the right edge there is a ½ inch loss.A few flattened handling creases throughout.Comb drawing:Small losses to the sheet in the upper left and lower right corners.Along the lower edge there is a ½ inch repaired tear and a ¼ inch nick in the sheet.Along the right edge there is a ½ inch tear.Along the left edge there is a repaired tear measuring 1 ½ inches.In the upper right quadrant of the sheet, there is a C-shaped repaired tear measuring 4 ½ inches in length. Another 1 inch repaired tear in the same area.Other handling creases in the sheet throughout.",19th Century,Art Nouveau
424,6.000 USD,Paul Jenkins,Hellenic Ode,1959,"Signed Paul Jenkins towards lower right; signed Paul Jenkins, titled ""Hellenic Ode"", situated Paris and dated 1959 on the reverse",Not examined out of frame. Minor loss to gilding on frame. Surface wear to plexiglass. ,Post-War,Abstract Expressionism
425,7.000 USD,Ruth Bernhard,Classic Torso,1952,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print is in generally excellent condition.There is blue discoloration, possibly an ink deposit, in the upper corners of the reverse of the mount. 'B625' and '635' are written in pencil in an unidentified hand on the reverse.",Post-War,Realism
426,3.000 USD,Albert Clark &amp; Son,Horse In A Stable,1894,Signed and dated Albert Clark & Son in paint lower left,This work is in good condition with wear commensurate with age and use.Artwork has not been examined outside of frame.Paint loss including scratches.,19th Century,Traditional
427,6.000 USD,Ruth Bernhard,Eagle/Edin,Circa 1941,"Signed, titled, dated '1946,' and annotated 'only one proof' in pencil on the reverse.","This print, on paper with a slight surface sheen, and flush-mounted to board, is in generally very good condition. Visible under close examination are some impressions, scratches, and deposits of original retouching. The print is trimmed to the image and there is minor wear and chipping to the edges and corners.The reverse is appropriately age darkened and soiled. There are several tape remnants, some graphite framing guidelines, and two hinge remnants in the upper left and upper right corners. 'RB246' is written in pencil in an unidentified hand.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
428,4.000 USD,Ruth Bernhard,With Turban No. 1,1962,"Signed in pencil on the mount, signed, titled, and dated '1971' on the reverse of the mat.","This print, with a semi-glossy surface, is in generally excellent condition. Under close examination, some deposits of original retouching and some very faint impressions are visible. A thin excess of dry-mounting tissue is visible on the mount at periphery of the print. The mount is yellowed overall and there is a rust-colored deposit near the signature.  There is a Ginny Williams Collection label on the reverse of the mat.",Post-War,Realism
429,7.000 USD,Ruth Bernhard,Creation ,1936,"Signed, titled, dated, and annotated 'TOP' in pencil, the photographer's ‘2982 Clay Street, San Francisco, California, 94115’ studio label, annotated 'Dolls head' in ink, on the reverse.","This print, on paper with a surface sheen and flush-mounted to board, is in generally good condition. Under close examination, the following are visible: faint impressions and scratches; deposits of original retouching; ink deposits along the upper edge; and a glossy area parallel to the lower edge. Visible under raking light are several translucent liquid drips, each approximately 7 inches long, extending from the upper edge.The edges and corners are bumped and there are tiny losses to the emulsion. The upper right corner is creased but does not appear to break the emulsion. The edges of the board are inked.  The reverse is soiled. There are yellowed adhesive remnants and abrasions suggesting that the print was previously affixed to a secondary mount. 'RB124' is written in pencil in an unidentified hand on the reverse.When examined under ultraviolet light, this print does not appear to fluoresce.",Modern,Realism
430,4.000 USD,Ruth Bernhard,Abstract Torso,1947,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition.There are some deposits of original retouching.,Post-War,Abstract
431,4.000 USD,Ruth Bernhard,Dark Torso with Hands,1971,"Signed, titled, and dated in pencil on the reverse.","This work is in excellent condition.This print on double-weight paper with a surface sheen, is in generally excellent condition. Under close examination, there are some scattered shallow impressions. The photograph is printed to the image and the edges are worn.'RB138' and 'OUT' are written in pencil in an unidentified hand on the reverse. The upper right corner of the reverse is soiled.",Post-War,Realism
432,3.000 USD,Ruth Bernhard,Joan,1962,Signed in pencil on the reverse.,"This solarized print, on Agfa paper, is in generally excellent condition. There is a 3-inch diagonal crease in the upper right corner that does not appear to break the emulsion. 'RB147' is written in pencil in an unidentified hand on the reverse.",Post-War,Realism
433,5.000 USD,Ruth Bernhard,Harvest ,1953,"Signed in pencil on the mount, signed, titled, dated, and annotated 'Printed ca. 1959' and 'Vintage' in pencil on the reverse.","This lush, matte-surface print is in generally excellent condition. The mount is faintly soiled and the edges and corners are worn.The reverse of the mount is faintly soiled and there are some scattered fingerprints. The following is written in pencil in an unidentified hand on the reverse: 'AGFA 1143-PAPER, UNIQUE, AOZ-V-89, $4500' and 'RB021.'",Post-War,Realism
434,7.000 USD,Ruth Bernhard,Perspective II,1967,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",This print is in excellent condition. The sheet is gently rippled.,Post-War,Realism
435,2.000 USD,Ruth Bernhard,Shell and Driftwood,1943,Signed and titled in pencil on the reverse.,"This print is in generally excellent condition. Under close examination, there are some deposits of original retouching, a few tiny impressions, and 2"" faint, circular disruptions near the center.The reverse is faintly soiled. There are abrasions and hinge remnants, suggesting this print was previously affixed to a secondary mount.'Property of Ginny Williams' is written in pencil by Ginny Williams on the reverse. '1200-' and 'C.170,10' are written in pencil in an unidentified hand. 'Printed in / Book Ruth Bernhard / The Ginny Williams Collection' is written in pencil by Ginny Williams on a Post-It note affixed to the reverse.",Modern,Realism
436,3.000 USD,Ruth Bernhard,Rockport Nude,1946,[nan],"This photograph, on semi-glossy paper, is in generally very good to excellent condition.There are scattered deposits of original retouching, some faint scratches, and a few small translucent liquid droplets. The periphery of the image is somewhat yellowed. The photograph is trimmed to the image and there are a few chips to the emulsion along the edges. Since the reverse of the image is hinged to a mat, it cannot be examined.When examined under ultraviolet light, this print appears to fluoresce.",Post-War,Realism
437,3.000 USD,Ruth Bernhard,Two Cows,1937,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, on paper with a slight surface sheen, is in generally excellent condition. Under close examination, a few deposits of original retouching are visible.'RB062' and 'SP' are written in pencil in an unidentified hand on the reverse. The reverse is very faintly soiled.",Modern,Realism
438,3.000 USD,Ruth Bernhard,Teapot,1976,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, with a semi-glossy surface, is in generally excellent condition. The reverse of the mount is abraded in a small area in the upper right corner.",Post-War,Surrealism
439,35.000 USD,Richard Corman,Jean-Michel Basquiat,Printed 1984,All three photographs signed and numbered verso,Works not inspected out of frame.Undulation to paper along edges of matting. ,Contemporary,Realism
440,8.750 USD,Larry Rivers,Make Believe Ballroom ,1989,"Signed in blue paint, dated and numbered 99/105","This work is in good condition.The work is in generally good condition apart from surface soiling and scattered spots of pale, mottled discoloration.The adhesive discolored in a few spots along the seams.",Post-War,Pop Art
441,2.500 USD,Hiro Yokose,Untitled #3890,2002,"Signature, date and title on verso",This work is in very good condition.No obvious signs of damage.,Contemporary,Romanticism
442,2.000 USD,Hiro Yokose,Untitled #3972,2003,"Signature, date and title on verso",This work is in good condition.Small chip to frame on upper left.Inconsistencies on wax surface on top center.,Contemporary,Romanticism
443,600 USD,George Platt Lynes,Nude Figures On A Brass Bed ,[nan],[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
444,600 USD,George Platt Lynes,Kate Lawson,1935,[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
445,600 USD,George Platt Lynes,Laurie Douglas Horbach,1944,[nan],This work is in good condition.Slight rippling to paper.,Modern,Realism
446,2.550 USD,Harry Wilson Watrous,Still Life with St. Anthony Figurine,Circa 1930,Signed Watrous on bottom right.,This work is in good condition.Small chip to paint on top left corner.,Modern,Realism
447,5.500 USD,LEWIS W. HINE,Selected Images of Workers ,1911 - 1915,"One bears the Lewis Hine, Interpretive Photography, Hastings-On-Hudson, New York stamp on the reverse, 1911-15.","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.Adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
448,6.500 USD,RALPH STEINER,Portfolio III ,1921 - 1929,"Each signed and dated in pencil on the reverse, 1921-29, printed in 1980-81Together with the printed plate list/colophon, signed and editioned 7 in ink","This work is in overall excellent condition.Under close examination, the following are visible: faint silvering in the darkest areas of the prints and occasional chips to the black margins.There are adhesive remnants, abrasions, and faint soiling on the reverse of the prints.When examined under ultraviolet light, these prints do not appear to fluoresce.",Modern,Realism
449,800 USD,Stephen Neil Lorber,Still Life With Lumber,1975,Signed in pencil lower right corner.,This work is in good condition.Not examined outside of frame.Slight rippling and toning to paper.,Post-War,Realism
450,1.500 USD,Frances Kuehn,Untitled (NBR 8) (APPLE) ,[nan],Signed and dated in pencil recto,Not examined out of frame.Creasing. Minor stains and nicks to frame.,Post-War,Realism
451,1.500 USD,Amy Scott,Winter-Rose/Katy's Vase ,[nan],Dated and initialed in pencil recto,Not examined out of frame. Surface marks through wood frame. Creasing to paper. Adhesive remnants at back.,Post-War,Realism
452,800 USD,Brett Groves,Correspondence 05 (Strike Gently),2012,"Signed in ink lower left, numbered lower right.",This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,Contemporary,Realism
453,800 USD,Caren Canier,Still Life with Iris ,[nan],Signed and dated in pencil recto,Not examined out of frame. Minor creasing.,Post-War,Realism
454,800 USD,Curtis Ripley,The Pink Vase,1981,"Signed, dated and stamped lower right.",This work is in very good condition.Not examined outside of frame. Light scratches to plexiglass,Post-War,Realism
455,800 USD,Stephen Neil Lorber,Chinese Baskets,1977,Signed in pencil lower right corner.,This work is in good condition.Not examined outside of frame.Rippling and toning to paper.,Post-War,Realism
456,1.500 USD,Stephen Neil Lorber,Navajo Ceremonial,[nan],Signed in pencil lower right corner,This work is in very good condition.Not examined outside of frame.Rippling to paper.,Post-War,Realism
457,1.500 USD,Marcia Scanlon,Millhollow XI,[nan],Signed in pencil lower right corner,Not examined outside of frame. Slight bowing to paper.Smudges on bottom of frame.,Post-War,Realism
458,1.500 USD,Debra Bermingham,Wedding Gift ,[nan],[nan],Not examined out of frame.Minor markings to wood frame.,Post-War,Realism
459,1.500 USD,Christine McArthur,Strawberry Tots,[nan],Signed in oil lower right,Not examined outside of frame. Paper bowed at bottom.,Contemporary,Expressionism
460,800 USD,Olivia Munroe,A Collection ,1980,"Numbered, titled and signed pencil recto.",This work is in good condition.Not examined out of frame.,Post-War,Realism
461,800 USD,Adrianne Wortzel,Blue Gray ,1990,"Numbered, signed and dated in pencil recto.",This work is in good condition.Not examined out of frame.Sheet undulation.Scratches to plexiglass.,Post-War,Realism
462,800 USD,Martin McGinn,Plastic Buckets ,2001,Signed and dated in pencil recto,This work is in good condition.Not examined out of frame.Minor indentations to sheet.Soiling to edges of frame.,Contemporary,Expressionism
